Date,US T-Note 10Y Yield,USD/EUR,US Unemployment,US GDP,XAU/USD,USD Index,OIL WTI,VIX,Interest Rates,US T-Bond 30Y Yield,US T-Note 5Y Yield,US T-Note 2Y Yield
2020-09-01,-0.193,0.027,-0.100,1480.887,-84.310,1.796,-2.390,-0.040,-0.010,-1.100,0.010,0.020
2020-08-01,0.298,0.030,0.200,1480.887,-4.940,-1.190,2.340,1.950,0.010,-4.900,-0.210,-0.060
2020-07-01,-0.130,-0.031,0.000,1480.887,194.020,-4.028,1.000,-5.970,0.010,3.720,0.140,0.210
2020-06-01,-0.002,0.001,-0.500,-1631.220,54.370,-0.992,3.780,2.920,0.030,-1.440,0.160,0.000
2020-05-01,0.029,-0.018,0.200,-1631.220,46.210,-0.687,16.650,-6.640,0.000,-1.030,0.340,0.070
2020-04-01,0.473,0.007,-0.100,-1631.220,109.040,-0.064,-1.640,-19.390,-0.600,1.970,0.280,0.040
2020-03-01,-0.153,-0.006,0.100,-276.236,-13.690,1.011,-24.280,13.430,-0.930,7.680,2.930,1.240
2020-02-01,0.072,-0.004,0.300,-276.236,-5.070,0.868,-6.800,21.270,0.030,7.850,1.950,0.750
2020-01-01,-0.559,0.025,-0.500,-276.236,72.800,1.155,-9.500,5.060,0.000,7.620,1.860,0.530
2019-12-01,0.059,-0.027,0.300,142.126,53.110,-2.144,5.890,1.160,0.000,-3.840,-0.180,0.070
2019-11-01,0.066,0.032,0.100,142.126,-49.260,1.048,0.990,-0.600,-0.280,-1.630,-0.560,-0.220
2019-10-01,-0.149,-0.028,-0.300,142.126,41.160,-1.867,0.110,-3.020,-0.210,-0.930,0.470,0.300
2019-09-01,0.677,0.001,0.200,241.047,-47.850,0.161,-1.030,-2.740,-0.090,-3.750,-0.800,-0.290
2019-08-01,-0.508,-0.016,0.100,241.047,106.300,0.602,-3.480,2.860,-0.270,10.470,1.980,0.590
2019-07-01,0.126,0.038,0.000,241.047,4.450,2.592,0.110,1.040,0.020,0.000,-0.460,-0.160
2019-06-01,0.245,-0.017,0.100,170.634,103.850,-2.000,4.970,-3.630,-0.010,1.210,0.810,0.320
2019-05-01,-0.468,0.002,0.000,170.634,21.900,0.465,-10.410,5.590,-0.030,6.910,1.560,0.540
2019-04-01,0.407,-0.012,0.200,170.634,-8.550,0.356,3.770,-0.590,0.010,-2.190,-0.130,0.060
2019-03-01,-0.394,0.006,0.600,126.767,-20.760,0.802,2.920,-0.990,0.010,4.540,1.300,0.460
2019-02-01,0.137,0.004,-0.600,126.767,-7.900,0.739,3.430,-1.870,0.000,-1.570,-0.390,-0.180
2019-01-01,0.254,0.014,-0.100,126.767,37.830,-0.431,8.380,-8.850,0.130,0.690,0.250,0.110
2018-12-01,-0.151,-0.011,0.200,28.720,60.850,-1.461,-5.520,7.350,0.070,5.470,1.630,0.580
2018-11-01,-0.240,-0.023,-0.300,28.720,7.740,0.295,-14.380,-3.160,0.010,2.410,0.600,0.140
2018-10-01,-0.121,0.023,-0.200,28.720,22.450,2.164,-7.940,9.110,0.240,-2.380,-0.450,-0.230
2018-09-01,0.307,-0.007,-0.300,125.678,-9.020,-0.346,3.450,-0.740,0.040,-4.470,-0.790,-0.270
2018-08-01,-0.204,0.007,0.500,125.678,-22.700,0.808,1.040,0.030,0.000,2.000,0.500,0.140
2018-07-01,0.102,-0.001,0.000,125.678,-28.840,-0.074,-5.390,-3.260,0.090,-2.030,-0.830,-0.380
2018-06-01,0.095,-0.027,-0.100,106.399,-45.670,0.390,7.110,0.660,0.120,-1.000,-0.160,-0.160
2018-05-01,-0.309,0.011,-0.500,106.399,-17.030,2.329,-1.530,-0.500,0.010,2.160,0.600,0.210
2018-04-01,0.337,0.025,0.000,106.399,-9.050,1.818,3.630,-4.040,0.180,-2.780,-1.220,-0.530
2018-03-01,-0.274,-0.023,0.100,161.725,6.340,-0.739,3.300,0.120,0.090,2.180,0.500,0.060
2018-02-01,-0.157,0.043,0.200,161.725,-27.040,1.597,-3.090,6.310,0.010,-3.370,-0.480,-0.130
2018-01-01,0.318,-0.022,-0.100,161.725,42.250,-2.872,4.310,2.500,0.110,-5.190,-1.660,-0.660
2017-12-01,-0.047,0.012,0.100,221.586,28.090,-1.176,3.020,-0.240,0.140,0.160,-0.210,-0.100
2017-11-01,-0.002,-0.031,0.200,221.586,3.160,-1.427,3.020,1.100,0.010,0.370,-0.610,-0.300
